w,age,a,z
4360.644817495454,22,0,-.58501023
5487.713272101806,37,0,-.83690774
3993.021711440599,37,.29910409,-1.1817392
7078.386221915153,25,.37491009,-.62735236
7900.887426265919,21,0,-.56195986
8912.417082398206,22,0,-.81978214
12091.50949512735,26,0,-.44392544
18193.28769259102,27,0,-.44360486
4406.27234924473,45,0,-.65824795
11531.56242813727,29,.48202726,-.82492298
6496.716375176613,22,0,-.67813659
17825.04317852143,22,.56442511,.026375229
30690.69372838926,23,.49850684,-.00022766922
5745.569504913806,34,.52536851,-.80888957
10920.76210862686,35,.41853976,-.45576367
11302.90701733883,36,.2307139,-.3593798
11647.80350014217,37,.21547031,-.32359374
3820.732214402533,25,0,-.72623652
7536.092705688004,34,1.401175,-.79045123
22408.44887314507,22,0,-.77058625
4060.433104340058,21,0,-.19875987
5580.858847159209,21,0,-.62123507
5580.858847159209,24,0,-.5442636
3397.142686847437,35,0,-.5305469
3638.789343964805,36,0,-.50826192
4000.83381255884,37,0,-.1939014
6887.674953223864,38,0,-.37192479
864.4672772321522,22,.28962836,-.82516205
1505.173289904964,40,0,-.59417206
2380.996815256854,40,14.494601,-.5884521
1383.018471641932,42,8.7671289,-.92789274
1852.800167130975,43,.26779294,-.90915906
2224.61780291759,44,.39138967,-.86580294
3182.645188231456,45,0,-1.0637161
6925.911599950417,22,0,-.54731888
3994.671307012106,21,.20022671,-.58541155
2848.692912036816,21,0,-.68564194
1748.074101850403,24,.39015371,-.25183564
4217.87990153537,27,.79513901,-.41409591
2618.286937901724,27,0,-.56428313
3460.600921821581,30,0,-.29068995
1986.32759553411,40,1.6899794,.40559661
1405.54257907432,41,0,-.44790089
4062.254121087431,42,0,-.63569337
1705.172067480487,33,0,-1.5568943
1180.446884347059,34,0,-.50150371
3304.142027032729,23,0,-.85325205
6401.883912594142,24,0,-.77689606
9524.957417201898,26,1.7468339,.09657377
2798.056468827401,38,0,-.91926366
4166.295144209734,39,0,-.79657054
4222.576377227439,40,0,-1.0605863
4727.962149156599,41,0,-.96550196
2871.994802445727,21,0,-.30349523
11815.26899745257,25,0,-.48236063
3203.920902281026,33,8.0865221,-.74812603
2566.006393545299,27,0,-.37329626
3806.797904272522,32,0,-.69979429
3763.06636545393,44,0,-.68378997
5458.960175059669,45,0,-.54655153
9959.636304009009,38,0,-.37109601
10888.22267787704,39,.57678479,-.26911587
1068.639129522759,41,0,.1022309
1710.831463779598,42,.48285124,-.37303278
2284.73302542792,43,.27191281,.16502054
1489.272388927688,32,.32032153,-.36959022
2097.271618017106,33,0,-.3822017
2416.122025094493,34,0,-.42869639
1898.59429518697,27,0,-.82861835
1294.949969306587,33,0,-.78322017
2068.328076859593,34,.76877171,-.80820507
2664.290047310184,35,0,-.018141486
2413.121842482893,36,1.8621908,-.58582151
1324.82070380809,42,0,-.74573451
2012.923088905832,44,0,-.33847111
1383.018471641932,43,.42846867,-1.0452102
2152.80618146292,44,10.811831,.31103098
2224.61780291759,45,3.7079022,-.86058742
2971.796607255971,45,3.8141954,-1.0484439
2907.244681535743,23,0,-.75096524
5134.784298735974,25,0,-.70092636
2642.277626109731,25,.22865397,-.54811072
3839.373878341688,26,1.7291183,-.5583083
2752.82668647017,27,5.7122293,-.12950683
6242.897657681934,28,1.4419619,-.29220474
2751.044957283702,25,0,-.6904636
2700.65771535359,23,.78277934,-.12324711
1752.121068231378,22,2.0681853,-.23679183
3561.764490908201,45,0,-.32845035
7086.395193819254,36,.26820493,-.86583066
18970.22038282193,21,0,-.76347131
4462.169031184009,44,0,-.714302
5837.689512016903,45,0,-.64968628
4753.310151599825,22,0,-.78844374
5287.773770085317,21,0,-.76070982
2245.936053833069,22,0,-.60492724
2940.567712865019,24,0,-.57707822
1613.999265458214,22,0,-.12387725
5094.567861881155,45,1.7962725,-.38306186
9060.959803716338,24,0,-.63952887
13698.52452616702,22,0,-.68481165
18043.48163647782,23,0,-.59059542
4440.064361084861,21,.51127851,-.33885175
8464.785246375157,23,1.0612016,-.33102641
2928.063783155661,34,0,-.79740298
5418.480410401956,36,1.4460819,-.8550632
2337.509336231957,27,2.9045234,-.68391329
3717.965699603652,28,2.426616,-.59081894
5903.106269932817,29,3.1517167,-.72982252
6837.950557431302,30,4.9232702,-.69628263
16456.29404307805,30,.46348777,-.26078355
7067.487451841735,21,0,-.8520506
4069.580536037665,25,.27520874,-.58326703
9447.120577344516,28,.97353029,-.48722306
1746.296219605655,33,2.8180056,.12701932
1717.725361254392,34,0,-.81534821
4495.423758220605,31,0,-.71047735
5832.048179795303,32,0,-.69911283
5797.03476467024,24,0,-.15198043
2512.263563232554,21,0,-.69743198
7406.362785630746,35,0,-.096326068
5127.916063707451,21,.492327,-.78102916
