w,age,z,a
13510.72065399672,23,.16330631,0
7332.514605380726,32,-.52037817,0
3964.325356430989,35,.33952448,0
6443.872370197754,36,.88305855,11.646933
4990.959482332031,23,-1.0888007,0
7387.638334925812,25,.15939566,0
4559.511049457295,23,.42037123,.3295913
6921.942874640062,23,-.22062854,0
11220.11832889854,25,-.33042991,0
6999.685193905432,24,-.89926898,0
15229.85434740683,28,-.49556673,0
10851.73376481022,23,.13937905,0
14234.30530209784,23,.1786314,7.5715361
4062.457903579958,40,-.0073694466,1.1947684
4754.770280387645,41,.11556818,.6478529
4821.272812861829,30,-.0014837186,3.9765191
7853.17722369521,32,.27690995,4.8248048
20652.18646806767,23,-.0044932114,0
7168.342304150869,35,-.29852426,1.9120415
10336.02570644499,37,-.54517937,.27891663
19982.82474238983,38,-.54434812,1.1125766
7313.290861311674,31,-.42595387,.31929156
13496.89333742253,32,-.089762725,.70038152
5667.354080316373,40,.3414129,0
15932.47498125793,24,1.055149,0
11428.64603751173,23,-.35767412,0
4703.432711077042,33,.051475633,11.247303
1743.543264175341,39,-.13421293,5.4110651
2103.992051645147,40,-.7894966,15.877648
2203.326606518719,31,-.2301944,4.5607195
3291.85036561623,32,.38371506,12.555162
3413.134994971234,33,-.75457662,12.322595
2417.908629907142,35,-.36543003,0
1433.390211062405,36,.15659003,3.7911239
3004.328120181333,27,-.53873295,0
1357.254143874021,36,-.72318614,0
1616.014626730128,29,-.33807221,0
9721.929654747322,26,-.13737059,0
6860.268943563035,23,-.25474912,0
8032.945157956357,24,-.38546365,2.3606977
1474.8048754257,40,-.50823188,.43361855
2723.186552535614,24,-.1341764,0
2321.696325187244,25,-.2996836,.51086652
2539.510075907586,25,-.21443306,0
1635.900470524852,25,.11270712,0
2003.197252735036,26,.14334452,0
3008.226704846287,27,.1612794,.52157825
4887.3561259623,28,.040717252,0
2846.802322356007,41,-.29929587,0
3352.616017711174,42,-.23961948,0
13532.13485766953,27,-.35971478,0
2484.226618651953,27,-.58845532,0
4837.347510186807,30,-.79184914,0
10196.41870396822,26,.3895635,4.931922
9410.692357361433,35,-.042707939,4.5510378
10668.74592505388,36,-.1292861,3.7843261
12262.21544847461,37,-.16176309,4.6929679
15183.58644499362,38,.37543941,4.7255154
2100.231978362644,24,-.10949332,0
2350.473451058,31,-.69357902,0
1656.617299726845,41,-.34421745,0
4122.488451112543,23,.07744135,5.52807
8491.8011145617,24,.53067225,5.9103961
8079.79667127645,25,.10344416,6.0562811
11253.94720269165,26,.33886981,7.0466619
9158.195226445154,47,-.70221847,0
5883.351113297192,24,.37741831,0
2417.489623417942,45,.49043533,.74487633
3383.595912443845,46,-.41277602,0
5578.776766066882,30,-.75092906,0
7248.282455707123,31,-.29255512,.48944306
8425.779893475506,33,-.1311617,0
8419.623165293688,33,-.22564037,0
7680.398364283304,43,.25242245,0
14647.28675198522,44,-.37638858,0
17841.62853071854,45,.61904049,3.0899184
20000.41657580519,46,.41416579,.59820819
4841.147032651667,24,.15788753,0
9293.991329507988,33,-.042654913,4.2826271
10996.64774899001,34,-.14083233,2.3421581
992.795294077673,30,.30209425,6.7291417
1183.575759706262,31,.35147473,9.8776455
7030.064113160162,43,-.14291728,0
9735.559372205335,43,.23632649,0
10597.83899561225,45,.039562698,.30487195
13396.77482199025,45,.035641607,0
8033.499179629181,45,-1.0966104,7.8321605
4904.659239087276,25,-.3106809,11.405507
2510.984068564117,36,-.84357387,0
3032.137747289404,26,-1.3962011,0
2622.300150175534,29,.62890446,2.2560525
5124.188764435072,30,.10477216,0
2422.603439645598,31,-.62425375,6.2317476
2482.219183188289,29,-.088570952,5.4691558
19115.51201484586,25,.5437181,9.9969158
5595.856933112294,24,-.0097450893,0
7781.288284997629,33,-.31973794,0
10687.26659124897,33,-.25327983,0
12882.4173712573,34,-.22368921,0
3036.182680078472,38,.28520465,2.7974062
6832.284988488503,34,-.16467217,11.212613
11715.9616320483,35,.079151481,5.6030521
1469.68340704526,35,-.18011753,.58502454
2306.565466289976,34,-.45939887,.61386377
3215.118847199581,35,-.45348957,1.3696579
4973.353434905163,36,-.55532223,.76877171
6332.839768598221,37,-.54967821,3.0742629
2415.978923166087,23,-.4457047,0
3391.689064630119,24,-.48735896,0
5640.692579645298,28,-.64705455,0
3963.58737037143,24,-.77033859,0
6646.624541628512,38,-.032294121,.45545396
7432.928390581161,40,.10902569,.51210248
9775.89671047183,40,-.11629233,.6179837
3843.938778883561,24,-.12902135,.63652319
13532.14210012788,27,.032080814,0
13053.18905251319,46,-.15126871,0
11800.90160095973,47,.1097855,0
3879.884383462625,44,-.57515591,0
6412.093366058321,45,-.62707746,0
9849.019038594051,25,-.28408289,0
13036.79248252998,27,.17757294,1.058812
17378.86690332786,27,.1714026,.99289376
2638.986561518668,31,-.6364302,0
8160.280373223672,32,.58005404,0
8039.887224462239,23,-.22258174,0
4929.028410910088,34,-.22859877,0
7315.300833135819,35,-.22621475,0
7800.409052049088,36,-.06030881,.25048938
9841.751213632726,37,.12418348,.20640655
4708.434613178089,23,-.44103453,0
6090.482022804722,24,-.40641654,0
6234.30809999246,25,.28781524,1.5243597
4964.4021450032,23,-.45320016,0
9360.860564704873,24,-.32973784,0
7139.928577272815,46,.46340939,.27500275
10103.76586228945,47,-.52790606,.27211881
2341.319494159449,23,.27677643,0
4012.165330709421,39,-.59493738,5.1539841
2209.707745969829,28,-.64434367,4.3052864
1940.673845344357,29,-.46536052,0
2259.869363508973,43,.30223957,2.3244426
4155.230108005977,44,.63262868,3.4726563
3506.248341806695,45,.25157928,3.9371741
2520.94642537665,46,-.64367026,3.1245255
3782.809127657038,29,-.54454309,0
3336.896535888527,30,-.19522938,.31558368
3511.762513535335,26,-.56665468,0
3986.846418777038,25,-.20639624,0
1891.288773653178,26,.93300647,5.3418508
4637.095162838887,29,.63040119,0
5875.128893825644,30,.572052,4.5310564
3745.507856268918,26,.69573277,.37326214
5624.387445589587,27,.79146481,8.603981
2712.613517544011,47,-.48275658,0
12953.74833617038,23,-.11607806,.21011445
3587.879552949254,39,.52324593,1.2689265
14784.18748039255,31,-.12025204,.39550957
6123.872305577702,29,-.052908219,0
3566.8076289515,30,.77586305,0
4654.78702130384,33,-.55524826,11.652288
4340.429672678059,35,-.39675251,0
6896.597152126506,30,.11640946,18.091679
3678.796012849796,38,-.28637332,0
3823.160210056729,40,.1163182,0
5447.225120975718,41,-.072786659,.24472153
6470.116637709601,43,-.019167997,1425.4824
6576.889593102215,43,.83676201,.41198912
5658.639170282381,23,-.41182828,0
6089.720741617123,24,-.25756517,0
8288.74986913379,24,-.14105532,.30857986
3887.44167940273,27,-1.1070229,0
3767.981275391659,34,.18608342,5.0633464
5159.167808370713,35,.26647562,6.6124253
9398.938447679388,36,-.51816636,12.712337
6555.221122044426,37,-.32255471,9.0658207
6290.015466049801,26,.31727314,12.171271
7457.461587079501,27,.58340895,5.2240219
3700.474896264218,42,-.14568868,3.3301082
6140.194943914352,43,-.16719985,5.3152776
9122.806109900377,44,-.26520243,3.6621714
9164.261626194731,45,-.33689818,3.4427872
8726.617251908749,29,.22819969,0
2390.331807618412,38,-.084926777,.33259881
9539.687549285214,23,.38736293,8.8577662
6927.87383208672,23,.19603835,0
8084.073861560487,24,.36562675,.44288832
11824.4391678271,25,.51280385,1.1337941
7978.681523534005,23,.39438978,.27356076
2721.469326265103,41,-.73696691,0
5267.871060046558,30,-.010853344,.2195902
6623.598376676206,34,-.38710761,0
15158.96258393623,24,-.4167082,1.1947684
6101.310034618503,24,1.2266856,.24925342
8477.090685078347,25,1.000658,.86517715
11617.85235498392,24,-.022655344,8.2455502
16020.49191626868,25,-.18050599,8.4214697
11663.46071652803,29,.21342151,6.8421092
12116.14811005481,30,-.77976233,9.9093685
14785.42438962911,28,.25847632,.5331139
19453.14116358762,29,-.02345971,.22659402
2417.508124858793,42,-.97876567,5.1408005
2958.468021268943,26,-.061101478,0
7046.637012444095,29,-.092674188,0
18105.75416367462,27,.27433991,.31867358
4594.709330862736,23,-.47381017,0
6587.379239069252,24,-.27445427,0
6595.141657055043,23,-.60745841,0
6020.730179976793,24,-.35721204,0
4852.806602164714,23,-.11818125,0
3670.513224641156,24,.12048122,.23895369
13592.15676455737,24,-.23368807,0
25293.97284292741,25,-.28311905,0
7196.718534135539,35,.90491021,.57678479
10156.42300657818,36,.82625991,0
4146.896536707483,26,-.51430154,0
4822.310959294516,27,-.38274473,0
4465.399423160916,28,-.45694262,0
4266.631834749711,29,-.50214738,0
6301.361477395153,31,.26731485,1.6516644
8998.679870899201,32,.21074264,1.0711718
13650.76640523437,23,.11066797,.30075207
17175.2903218422,24,.36684433,1.1980643
9025.316788251184,27,.32045582,1.7550737
16876.89692822316,31,-.028019395,2.8600285
4291.181188671318,24,-.13589308,0
4500.36169634175,42,-.2982401,4.816153
4169.114482054475,28,-.053213466,7.314455
4169.114482054475,28,.12907614,0
11606.07943089899,23,.19605754,0
12975.91321662665,29,-.36552322,0
16722.67553934969,30,-.43454021,0
19645.5520467231,31,-.43850204,.20887849
9452.295035292882,23,-.75768232,2.6655695
22838.96855366575,26,.62391979,.23895369
2510.42245678602,26,-.18939857,.20644775
4734.469588925498,27,-.16295144,0
4057.939993541826,31,.069629595,3.7622848
4976.001346885129,32,.22591199,4.0000024
6109.172049810092,33,.13323696,5.4891372
6355.473696550506,34,.32801735,4.1536741
7463.098874016825,26,1.0801547,9.1358585
7363.284282846941,25,.13637328,5.800807
9092.020216840734,37,-.020339709,3.2299948
4720.488899960538,23,-.2606374,0
5024.881992398793,42,-.86319298,0
9726.408148819641,24,.67179984,.52116627
5197.836284470978,23,-.46941063,0
5264.575797760118,23,-.32914421,0
10302.32465960834,24,-.11999957,0
9043.029003845784,25,.059637018,0
10380.8671521135,26,-.18895207,0
9043.029003845786,25,.059637018,0
10419.88431969779,26,.0010384398,.57184088
3445.976269593821,37,-.22313756,3.1311173
4652.243303946463,38,-.050359346,5.7905073
3328.989182494895,23,-.27600574,0
3568.697772625503,32,-.082879193,4.4906816
5845.680955569814,35,-.38769442,1.9717799
3361.007449194583,32,-.86243117,.61180383
3459.474481663681,38,-.21553783,.21011445
4055.57210359504,39,-.41400775,.25213733
