w,age,a,z
7919.79542375915,22,0,.3687951
3186.001892669168,22,.85946095,-1.8350738
5164.531447754131,22,0,-.37181884
12271.53529708171,22,0,.64716214
3187.678297013824,22,0,1.2042919
5272.583671033693,22,0,-.67568046
9487.698830503869,22,.61056107,.4237687
6650.09411551002,22,.35134763,.68262261
10944.91867811796,22,0,-1.8350738
4794.927363255849,22,1.2438118,.92998666
7022.139211650603,22,1.2438118,-.27063304
1813.230274790449,22,0,-.5213502
11795.384452372,22,0,.64716214
5170.617734674538,22,0,-.30294925
3193.116344393928,22,.85946095,-1.8350738
4474.999928106413,22,0,.20822209
10104.81995043266,22,.61056107,.4237687
1636.694084796697,22,0,-.22563583
6967.300979044348,22,1.2438118,-.27063304
10169.60591609093,22,0,-.1123069
9755.509406860967,22,0,1.2042919
2216.184493446076,22,0,.099919967
4932.911273018639,22,0,-.069658585
4139.684061907996,22,.85946095,-1.8350738
4158.122129847519,22,.85946095,-1.8350738
9888.849096217922,22,0,.3687951
8387.085184554478,22,0,.3687951
8496.386781602712,22,0,.3687951
10062.98744901345,22,0,.3687951
10532.27250965957,22,0,.33967751
10610.41605655769,22,0,.3687951
2763.097350383435,22,.29187295,.22058743
10569.1616872085,22,0,-1.8350738
5276.359338252396,22,1.2438118,-.19879943
5278.21120174767,22,1.2438118,-.3552888
2111.138721383051,22,0,-.27566653
10821.56919230234,22,0,-1.8350738
3138.848437894791,22,0,1.132876
7039.14206063649,22,.35134763,.68262261
1754.139330820513,22,0,-.22563583
4097.788955982838,22,.85946095,-1.8350738
1956.227988792568,22,0,-.5213502
4811.088998342803,22,0,-.4487794
6516.714557996349,22,0,-.38768417
2260.352758128478,22,0,.48927277
5274.165103981075,22,0,-.70884639
4909.512012875416,22,1.2438118,.92998666
4791.612386753538,22,0,-.4487794
5459.059966061533,22,1.2438118,-.25898582
10063.04236391531,22,0,-.024165457
3857.327440125871,22,0,.97985524
9988.930112453088,22,0,-.052691765
3203.636188156972,22,0,1.063707
11933.04880200413,22,0,.61420602
1904.407719468251,22,0,.81534737
1464.422695871693,22,.10691694,-.65457469
9694.935512481867,22,.61056107,.39106244
10401.14856978095,22,0,.3687951
5136.551519683899,22,0,-.70884639
6685.540020803121,22,1.2438118,-.24502307
1444.242065123622,22,.10691694,-.65457469
3521.274650815463,22,0,.97985524
1438.766959741313,22,.10691694,-.58116847
2233.149261988466,22,0,.45665234
3885.376322900615,22,.85946095,-1.8350738
3221.069027107987,22,0,1.2042919
2080.870656531954,22,0,-.2425788
3089.714871674127,22,0,1.1656462
1949.098009914375,22,0,-.55414039
1720.855639377526,22,0,1.2042919
2758.43483678459,22,.29187295,-.32656223
4884.783465965312,22,0,-.4487794
9543.854686488441,22,0,1.2042919
3904.632966257914,22,0,.97985524
5153.987805991334,22,0,-.26979667
11590.69904962589,22,0,-1.8350738
2088.739830308908,22,0,-.2425788
9557.574243910089,22,.61056107,.39106244
12180.46260667916,22,0,.64716214
11770.84871824327,22,0,.64716214
3691.560363853572,22,0,.94696969
3621.026690085842,22,0,.97985524
12437.8636372363,22,0,.54521245
8475.901027452106,22,0,.2787692
3813.119494627156,22,0,.94696969
12403.36455104347,22,0,.61420602
1425.251846976697,22,.10691694,-.62194282
10748.69239390356,22,0,.3687951
6233.087717048649,22,.36784929,.093544655
4884.874770700487,22,1.2438118,.89851445
1846.907402024377,22,0,-.5213502
7954.366020719431,22,0,.3687951
12082.02895172976,22,0,.64716214
1981.739663006977,22,0,-.623133
3154.192090321886,22,0,1.2042919
10189.18994576763,22,.61056107,.32225388
9977.543014596875,22,0,.33967751
8221.668086054429,22,0,.3687951
2889.454446166792,22,0,1.132876
9402.630341216129,22,.61056107,.39106244
1636.844011639871,22,0,-.22563583
10802.46742544913,22,0,-1.8350738
2227.826358181443,22,0,.45665234
4884.529567226879,22,0,-.67067367
2585.064628494723,22,0,-1.8350738
5271.880804719891,22,1.2438118,-.2656253
5237.141868854462,22,.10657316,.35858887
2556.717716657643,22,0,-1.7730383
5694.995544097235,22,1.2438118,-.17190582
6248.997381692737,22,.36784929,.12614697
10722.77607494562,22,0,.2787692
3850.218458114424,22,.85946095,-1.8350738
6985.79685002476,22,1.2438118,-.27063304
2673.027082471634,22,.29187295,.22058743
2719.183520308402,22,.29187295,.2523362
2744.165438820249,22,.29187295,.17876214
4430.96108100659,22,0,.24086159
4024.148294341625,22,.85946095,-1.8350738
4143.35832513116,22,.85946095,-1.8350738
6548.609529414303,22,1.2438118,-.24583846
3194.70985162345,22,.85946095,-1.8350738
2956.226396010445,22,0,1.1656462
2950.306282200134,22,0,1.1656462
1648.51953244644,22,0,-.22563583
6772.541105714246,22,0,-.42019206
5118.612744464759,22,.10657316,.12783402
10899.35566338276,22,0,-1.8350738
3203.758443132715,22,0,1.1656462
5406.162891326292,22,0,-.67568046
3180.70084675299,22,0,1.1656462
1914.371713601498,22,0,1.2042919
2933.078760105538,22,0,1.1656462
6449.908836796822,22,1.2438118,-.24583846
11741.75056384714,22,0,-1.8350738
6879.110469160109,22,.35134763,.64983243
3893.689258313164,22,0,.97985524
10003.47834195124,22,0,.33967751
11597.39780788326,22,0,.61420602
5657.844875137122,22,1.2438118,.083612137
1498.401102849745,22,.10691694,-.62194282
1770.552762667306,22,0,-.5213502
6154.619515458327,22,.36784929,.12614697
10401.17479538695,22,0,-1.8350738
2908.954070850265,22,.29187295,.065838508
1436.265132780426,22,.10691694,-.65457469
1790.864775422787,22,0,-.5213502
9572.02707637126,22,.61056107,.4237687
6248.997381692737,22,1.2438118,-.24502307
2083.213676203194,22,0,-.2425788
6584.353274622892,22,1.2438118,-.24502307
