w,age,a,z
16710.84737061678,26,0,-.36878651
17578.91624787452,27,0,-.59476441
7651.95919141528,43,4.6789646,.034534808
12436.98783955812,44,5.0371671,.091347501
14918.05820342281,45,5.4051409,-.054448988
8413.263199159495,33,0,-1.0684665
4496.666943658281,28,2.2056103,-.54603356
11932.88192307818,27,.52208745,-1.001116
9064.697164465266,40,.2052055,-.81390178
8972.520885175109,41,0,-1.5427358
3678.499393887319,25,.32386175,-.5337491
16937.39875108613,25,.2624397,-.66473097
7599.676141825058,29,1.8474358,-.51624602
8896.074688023249,30,2.5559952,-.1308322
9008.003704849072,31,3.0348637,-.90432763
7417.116370919492,30,7.6861329,-.16362995
6177.188031514997,33,1.6611874,-.36431873
7517.845686145604,28,3.0459757,-.5136494
9967.316081293557,29,1.5970014,-.29691419
18504.68515538562,30,2.3732646,-.45084938
5808.183335672134,44,6.2153535,-.5143522
7908.509951488349,45,6.915565,-.30355301
12775.90080664737,29,10.36916,-.47181723
8003.772805376332,27,2.4568822,.26598603
6399.148467965621,26,.26969868,-.28819638
9546.694933174133,27,.25210962,-.048393425
14880.07890974417,28,.76637977,.036959879
9098.013866009713,29,.62259632,.082660645
6306.513313936453,25,1.041383,-.18680747
6476.699812877986,37,4.0817747,-.91641837
7311.32351474374,38,3.7634969,-.96455914
7988.823670916671,39,4.6904116,-.90160996
11784.91835489653,40,4.4237838,-.55402839
8517.455805545304,25,1.38758,.16740084
6802.269567009781,27,6.5051541,.020170538
923.8480060381497,30,0,-1.0383341
3177.34362235079,26,0,-.80327421
3645.722074201814,26,0,-.81503427
10146.27443471445,23,0,-1.3968426
6543.993411439305,24,0,-.9208166
9974.829330950961,24,.64939862,-.9535746
7904.163563005477,26,0,-.60061312
14772.1813852934,27,.44670588,-.52693391
7738.079262453877,43,7.953877,-.55824184
4642.532104665835,26,.67368829,-.60649568
7272.898461374375,27,.97158527,-.77598542
9155.696254283963,28,.43135035,-.23286535
2588.276049908641,37,1.3512852,-1.0492086
3545.608461289743,38,1.4230374,-1.1165584
4675.240144825241,39,1.9660642,-.89207262
6727.230048302995,40,1.0406851,-1.2186698
3916.765340175696,30,2.0766239,-.89302129
3810.20489608099,23,0,-1.2320907
1584.844673831122,24,.36294851,-.82755613
861.2958981153589,32,0,-.49525321
1172.665916376184,33,.23172867,-.44772124
7228.121925683711,26,.60026103,-.40884483
10157.40026301188,27,2.8365822,-.34884596
8791.722373974017,31,0,-.80763751
11063.09800484718,32,0,-.83860099
12792.50028157224,33,0,-.49257684
5930.979009378711,33,.51762044,-1.1483743
6516.287596607787,39,.61477894,-.6017971
7164.141718156196,27,0,.21617387
3820.980663487681,31,7.4711556,.008903644
6221.313625311127,32,12.354209,.046500213
5277.205277073724,33,8.2900229,.15594992
6321.075642125554,34,9.3071165,-.038863964
5798.095636710716,34,.85516256,-.65961432
7387.932924472734,35,3.0350871,-.1487159
5798.095636710717,32,.7287448,-.71305585
12696.62501560346,35,.53046322,-.025036488
7003.824144795771,29,.20101763,-1.1578995
7944.499062294701,30,2.8198307,-.8471961
2877.999982601809,24,.32106984,-.81506205
5480.946390687325,27,0,-.5699845
2305.92334663725,33,.22893676,-1.0399032
4755.311976017974,24,.94366616,-.98789263
5614.294419165272,25,.91937649,-.8589195
1455.299685039339,33,.55279851,-.70742106
4618.369610548311,24,.65609926,-.973176
4863.515790891978,25,0,-.68515313
2741.605622152774,30,.58672023,-.2502389
4328.603120019015,24,1.991331,-.49774948
1111.581132369162,36,2.4077446,-.95130098
7868.992020852398,30,7.6780081,-.24161047
4467.067927981218,22,0,-1.1301094
4005.569748576015,23,0,-1.3183049
4553.248873787997,22,0,-1.1301094
4455.818081932054,22,0,-.99643457
4257.877123726922,32,0,-.84617192
8871.303704201304,33,.63934779,-.90129524
10334.25497143413,34,.74264848,-.64202219
12087.27610231754,35,0,-.77157676
2783.259702579883,28,1.5411352,-.87375718
4201.363641887262,30,1.9962168,-.74260104
4059.194429481331,31,2.2063081,-.86885971
4501.976250252297,31,3.7669868,-.46215409
1064.590580196638,30,.49975219,-.3887682
1951.896465555818,31,.53883892,-1.0051547
3376.474693740367,32,1.9878411,-.79218328
4173.90079219684,25,.34619704,-.68100697
10075.7225554433,23,0,-.69694847
4437.012562136219,24,.97996098,-.71204662
2232.885469229641,29,3.6657801,-.64350158
3192.611889433552,30,3.5903983,-.68885744
4582.957895196966,33,4.5901818,-.68310475
2620.308594777021,24,.27919117,.25641382
4734.504031468354,26,.79290289,-1.7408851
8554.858263999764,24,0,-.4726505
2303.181706530659,41,3.4181373,-.64580816
3467.194581632235,42,2.2924387,-.98818153
4456.92363627654,43,4.1820045,-1.8109596
3800.305931104665,44,4.1984768,-.47574246
4929.541376425525,29,.57234186,-1.1549554
2747.231669263538,24,1.7002742,-.089811333
2763.641193037094,28,0,-.83041167
7633.372525678832,27,0,-1.5487932
9299.958716835195,28,0,-.012830994
13551.11301336886,30,1.169811,.29033795
16383.48049162157,30,1.167019,-.25632024
8708.289061888327,22,0,-.33629841
9048.769037185682,25,.77347118,-.76392758
18734.29502436272,27,.88743705,-.45885089
29901.76953889092,28,.89313251,-.42429787
8277.889896337567,45,9.8716412,-.74499345
8367.2755157839,28,0,-1.7714922
13513.22413715078,30,.40371042,-1.4836346
14888.02342877442,31,0,-1.6710764
6987.608945986912,32,3.3223748,-.74942046
7856.036164203138,32,.41878673,-.91025716
9874.110651959727,28,3.7245777,-.67427379
9119.069011491514,26,.38472542,-.68155938
4909.125765887011,26,.39282197,-.61658597
7721.644625737383,28,.55140257,-.71219826
13713.84596934072,28,.6979779,-.6492663
9806.918600422081,28,5.8983321,-.65827376
9806.918600422079,26,0,-.55486757
13151.39807404331,35,0,-.83271921
5864.455899390697,24,0,-1.7976027
8191.518706609556,25,0,-1.3997672
9945.751786527493,26,0,-1.2414217
932.3262527378957,25,.58909339,-.70344502
1411.92414726389,27,.81942606,-.61668307
6951.547642215609,35,3.3600657,-.77212101
6353.392753954756,37,13.937222,-.17788509
2559.074326853487,29,4.192893,-.32181433
4074.780072929018,30,1.1111808,.29657206
6112.015456850105,25,4.762722,.17625794
10807.84325552865,23,.26578999,-1.1208347
5808.07023231058,25,0,-1.2060133
3554.761084067828,28,0,.2866517
3554.761084067829,26,0,.39005795
5775.377604050748,35,.34898895,-.30645612
4367.5567552611,24,0,-1.1520387
3755.97675514328,34,0,-1.2234772
6741.885093883455,36,0,-.95414257
11214.61423624537,32,.75381613,-.76230311
8641.563605861424,33,10.972213,-.53987944
5827.357109551121,28,.69323164,-1.0675225
2035.577445003352,30,.62510902,-.555233
4513.93035725081,32,.58099681,-.24058196
5128.958856700951,33,.55782396,-.17091784
12368.40006207106,22,0,-1.1749883
11435.39976002585,24,0,-.61367381
12245.13661268678,26,.37285981,-.36085472
12936.83236741612,26,0,-.41290843
7083.716962725602,24,0,-.80035758
11435.39976002585,24,0,-.7314235
12295.15782732396,26,0,-.36085472
12936.83236741613,27,0,-.65849453
2461.825511452031,34,.25183043,-.41026035
8217.03751402761,25,.34200919,-1.3010036
18017.01296115064,23,6.1422057,-1.6525108
11490.45668287409,23,.32665366,-1.5682003
9055.206788714251,22,0,-1.2567422
3881.443890533608,33,.38612139,-.90150237
7003.596191452973,34,.41459888,-.86341745
6180.551432292238,35,5.3046322,-.75543654
4421.411709094565,24,.27919117,-.61622828
7464.973201886446,25,0,-.83000821
6061.432130274964,26,0,-.77583909
6877.082725725583,27,.47183308,-.69577312
6016.732646550842,43,23.513479,-.1321318
8124.901577385291,44,16.769058,-.066812858
8554.734305275806,45,23.884804,.017255025
2484.747544772492,26,0,.54531825
9133.844945351049,44,.21888587,-1.2227502
5984.905871850096,45,3.5471237,-.49753839
1914.794405567952,36,3.6001701,-.92653441
2933.989707197898,37,2.6955907,-.87089252
3593.117076787956,38,3.4055181,-.86162513
1669.312967941166,43,9.0304384,-.47691897
2944.126279245384,45,6.8052845,-.53218919
16522.68057819862,22,.32330337,-.85400695
3810.913287906122,45,.77894336,-.79090667
0,24,1.9696937,-1.0233574
4492.933254253393,26,.78536475,-.80796802
4746.727307888493,27,.41323084,-2.0264838
3851.020558844118,24,12.482637,-1.1074411
7711.041182726481,39,10.659518,-.33320037
9919.218872780008,40,10.24464,-.35282364
11378.90033685212,41,11.577974,-.27190918
13455.32198980848,42,11.079981,-.35132197
2072.207824525149,29,0,-.57193303
3708.190724425187,32,0,-1.3478831
5878.577216353115,33,0,-1.1043397
6120.408834142221,45,1.7231958,-.54743391
3786.499626176091,44,8.4610281,-.25308225
2465.833437462131,22,0,-1.4670498
10519.85683135779,24,0,-.840532
4971.581210518686,29,1.2772995,-.59362519
6660.951999814016,30,1.326158,-.52631861
6183.651412020851,31,1.423875,-.50541216
4756.316937045062,30,1.0246316,-.48934653
6242.814436665853,31,14.545859,-.650244
6183.651412020852,33,1.4992566,-.1809679
2519.374587998674,35,.30948341,-.56855547
2053.418978052529,32,3.6350689,-.90509731
3144.276258020037,33,2.6425443,-.90547067
3620.907342926389,34,.38975087,-.82454067
3308.037039270819,35,4.3584533,-.8798517
9159.91753054796,26,10.219234,-.22912343
2341.290951420387,35,5.5369191,.15220051
3072.052861599779,36,9.4548092,-.23192263
3634.239047412806,37,5.7404494,-.079254307
3901.970231341812,38,6.2868266,-.060244333
2367.039327519357,39,3.6853235,-.27479091
2734.285248162539,39,5.6773524,-.080938309
3753.605706780287,40,5.3853183,-.035215583
7022.206490691264,41,6.5629468,.13134529
4212.970521120389,42,5.600575,-.15937576
4929.541376425525,26,.28198308,-.63100034
3269.572201450273,26,1.8689057,-1.0451481
7865.829083620613,25,1.5626329,-.78665757
7906.460245152312,23,1.7399193,-2.3850496
3648.373782380002,27,.22868548,-1.0905715
3908.868421053019,40,1.9705591,-.77645504
4616.145154661451,41,1.878817,-.78862315
3712.540602986124,30,.34200919,-1.3062893
5071.65652187382,31,1.1781868,-.99769419
6650.070373201374,32,.44391397,-.90288609
7350.146628214031,33,.3219074,-.94215328
1908.180716790678,34,0,-1.6258578
2543.969180532421,35,.33056235,-1.515322
1723.422297812279,27,0,-1.0696656
3991.1081797925,28,0,-.63734585
3171.898474448085,26,1.1251404,-.57388085
5284.648925074355,27,0,-1.68301
8306.739300423311,29,5.6675806,-.48416963
3973.095110615939,25,0,-.97454262
6300.800787520128,26,0,-.81492341
6859.554050382558,37,.71054149,-.68522769
13249.45412560772,40,1.1195565,-.67222226
4051.16898970719,29,.27919117,-.21772121
4083.526557619381,31,.87107641,-.089234002
6401.769318075388,29,.70635366,-.54583961
8248.408685334687,30,.5835095,-.47905695
6160.039819587651,28,1.5578867,-.060542412
10047.59453630533,29,.75800401,-.17203468
13643.07583150293,30,0,-.42581505
8097.322000807744,27,0,-.66826195
4202.365159192622,26,.41152778,-.28201291
7391.731164450027,29,3.6409321,-.23462838
9867.399421917953,30,3.8751733,-.18370844
14442.86580788425,32,5.6879616,-.17132902
0,41,7.7028842,-.41687548
9579.754359959637,44,9.4207478,-.27889019
7508.405785054644,32,.90681291,-.99279284
3433.813645788229,35,13.532395,-.018264551
4991.939332969555,35,10.885664,.056784932
2517.026544311783,26,0,-.17452991
3041.241049454045,36,7.9940805,-.27854007
4303.814130096113,37,14.142428,-.40925545
5924.060408062102,38,11.684988,-.15787061
8181.222710047473,39,1.0525507,-.31438285
2841.046172565019,36,1.4469082,-1.8558786
4496.215733614711,37,.63968277,-1.0194918
3549.170059817083,33,2.059314,-1.3558806
5592.106262606964,34,.36239013,-1.2483882
7987.545383921636,35,.3889133,-1.2762325
9354.366044062308,36,.35010573,-1.1986427
3102.012708294214,43,5.3046322,-.94073522
6554.279802354112,45,0,-.96127546
2802.139826492751,45,10.725966,-.3856658
2707.617077866464,36,0,-.77102584
4119.988092234271,37,5.8713903,.0082805417
8269.636848765937,39,1.8887283,-1.0313549
3661.64827865288,28,1.421083,-.30369347
3323.168562939521,30,2.1726656,-.10773305
3359.612500294317,31,4.3414226,-.30622247
5203.276866808134,27,.49148813,-1.0368346
5517.761390576522,28,.9771691,-.7313506
5564.724640880427,26,0,-.6153264
6977.057411432193,27,.58909339,-.76924074
8094.650346972728,38,.70272416,-1.453849
8471.70583405113,39,.3201485,-1.1688428
9913.371157101226,40,.33851928,-1.2274989
12289.31193629474,41,0,-1.21378
11363.1942209517,24,0,-.60038745
8860.41510896398,25,.28365824,-1.419528
11761.26140486502,26,.78452718,-.92537355
13769.17050398351,37,1.7477367,-.34375772
5239.697763618059,32,5.7499418,-1.4697083
6112.219417219174,33,9.9291544,-.88382453
9714.483796515126,30,.75269938,-.51975441
5004.776638516348,32,0,-1.3250595
4707.738823942732,26,7.0303125,-.58903909
6928.949271931124,27,5.1133304,-1.0596355
7281.680674016644,35,0,-1.3524103
5507.66848211992,28,.49333078,-1.0562216
3093.199147257437,30,1.1287699,-.98186219
7645.426926089567,28,3.9086764,-1.3328193
9274.076929566258,27,1.5411352,-.65857154
11479.42691574705,28,2.0101764,-.4629333
4130.600761255915,38,7.951839,-.32658756
6057.62750185405,39,19.500999,-.52040434
9521.314676519145,25,1.0078801,-.69504011
11975.23925828562,29,1.9822572,-.22462438
22114.16038857157,30,8.8126688,-.39056012
8885.209510347051,24,.57234186,-1.0588895
6293.853907528155,29,0,-1.7026433
7358.496161661634,30,0,-1.5658296
9280.784340405773,39,8.295105,-.76619869
7470.064185506974,31,8.9564524,-.9683004
12271.08558728675,24,.50449842,-1.6248746
7417.456040489154,26,0,-1.0680377
6408.5268317517,44,31.06588,-.043990672
6717.715771421609,26,.58630145,-.5042057
9112.02899773729,27,1.0609264,-.63463271
7050.432420448028,29,2.0317578,-.017459098
7858.536539937934,28,.22335294,-1.3997329
2971.292815536994,29,.25685588,-1.5465978
4255.500780176889,30,.27919117,-1.8748425
3449.138077064369,28,0,-1.1198512
3461.331281485458,29,0,-1.2085348
3339.575484148945,22,.76777571,-1.161491
3290.500764141022,23,2.5629749,-2.3238175
13976.42700828571,21,.36294851,-.90857244
10043.14293565694,26,0,-1.0407678
11542.85394450988,31,0,-.56675035
10105.87583424575,27,1.2717158,-.95261592
10346.90969979219,22,0,-1.5998373
9543.674216580859,23,0,-1.4121535
8434.112694096373,28,2.4373388,-.64126664
11192.18449309226,29,2.2335293,-.74914384
13472.71797523106,31,4.9416838,-.6882872
5697.684639720453,24,0,-1.078025
8379.466935399212,27,6.8429756,-.016576685
7341.634533758475,25,4.2855844,-.66386056
5778.969693975049,33,.34200919,-.5884887
6440.712846330457,34,.43833011,-.67134875
5536.486246445494,36,.5248794,-.64651555
6501.633689651103,37,0,-1.0185524
8118.25366819411,41,9.585331,-.89214325
10389.64303509613,42,6.1084237,-.96998191
5081.355093724743,23,3.0864584,-1.7087001
2800.157579302568,23,0,-1.1536108
3980.94141939972,30,.41599482,-.60054404
2689.122921827767,31,9.284502,-.32224965
8185.539200262344,32,0,-1.4299113
4864.5470220503,29,5.1843009,-.43941104
6822.733391558705,30,4.9766107,-.79277033
8166.423673902375,31,5.2817383,-.70524567
8282.027910867952,32,5.5280967,-.63437265
5566.218154051847,23,0,-2.0690067
9427.069374857028,25,0,-1.7267232
9756.850968241108,26,.24753089,-1.4107496
4538.080139250526,33,0,-1.0141491
4878.848471224453,40,2.3613989,-1.0653037
4808.964968866556,37,2.3647492,-.83335614
4409.963526616471,33,2.3404596,-1.6411204
7424.798788931223,34,7.0132818,-.79654372
8467.423323153858,36,5.1789961,-1.0650686
6804.51126086152,23,.76219189,-1.03632
6804.511260861517,23,.87107641,-.97523284
9785.306991745101,23,.28477499,-.82628727
3742.725601934037,23,.28477499,-1.4004138
7495.743276273809,23,0,-1.312407
2871.460205227404,39,7.1807966,.093221396
5155.588726548242,24,0,-.78154355
5437.393185871704,26,2.9342992,.15050383
4297.294588969657,31,1.5922551,-.82865781
2583.588263017523,34,.29189438,-.53345984
5075.15741178549,22,0,-1.0377063
7055.161028110985,24,0,.076820642
1475.108218462585,23,0,-1.1935868
2105.522651347301,24,0,-.97345811
6727.893641686751,30,1.423875,-.33870339
7965.203774516947,30,4.7992959,-.4554508
3211.169114002837,26,1.451794,-.77242774
5254.190774119724,27,1.451794,-.60779339
7412.841870887936,28,3.395802,-.68840635
8697.708067805235,29,4.3860931,-.54389226
2241.655009107415,25,.81803012,-.63124222
3510.663847544015,33,3.0540721,-1.3927785
6252.519431336113,34,3.5585985,-1.2174004
2758.522532456159,29,8.7610188,-.84425962
3463.494742460492,30,7.9005518,-.61712354
2222.667422177954,31,6.9540935,-.67240924
4225.792651392269,31,6.7008672,-.78622335
1662.328541580914,36,0,-.837098
13528.03730060906,29,11.033356,.29404986
5124.845792934711,27,1.3666408,-.546826
5429.02486009985,25,.25127205,-.77286285
4455.976040669807,39,21.573101,-.17110327
6734.354999469401,41,8.4036541,-.99742031
8681.763137387707,42,24.650486,-.44219074
5499.613730815235,42,10.05172,-.37598336
4884.801311519642,33,.78717947,-.93946058
3772.815532309833,29,0,-.76787722
4678.818294230095,30,0,-.41995662
6560.385588718473,31,.5751338,-.54934067
4265.928005528209,28,.44949779,-.78528607
1551.161109144893,23,.22391132,-1.0540822
3800.444718802782,25,0,-.99676806
4551.330086251099,35,7.6163349,-.32231733
6289.077341786102,36,.44279718,-.36495811
8359.898354023164,37,2.1411171,-.72685409
5190.648118206903,28,0,-.00023023666
11533.6873264187,23,0,-.31869793
4132.037371193885,26,0,-.5567559
2331.231518811035,35,.75604969,-.75161976
7922.498305028806,26,0,-.45199168
3550.100547355932,29,7.6777573,-.77229083
10063.19737248306,29,2.4848013,.53503072
4601.298584779993,23,0,-1.2886639
12206.9147369518,23,.20353036,-.82095891
9261.861462730318,26,0,-.72135276
9113.70572301768,23,0,-1.1649282
7002.554794930708,22,.32609528,-1.4336028
3954.872566863718,33,10.279819,.048421569
4122.518097941688,34,9.3998079,.077425137
5378.290519095545,25,0,-1.3484733
5128.02586015482,22,0,-1.2938275
14864.37231035728,26,.20436794,-1.0891045
10883.6500319476,29,.77894336,-.72167224
6124.020285642983,24,.62259632,-1.0724909
3699.244973020815,26,.28477499,-1.0236555
2742.658332189692,27,.79848671,-.93488365
2844.825641282848,25,.62818015,-.66104877
4333.09039439796,31,4.4726424,.49830469
1926.642560440957,22,0,-1.5058706
2802.249579602082,23,0,-1.049822
4967.020760900064,24,.47462499,-.79712248
3773.512143025066,27,.80099946,-.97651803
13114.78407862657,29,10.274235,-.51873505
2592.146105955655,35,19.525793,-.87931299
2626.452907320055,35,9.5893793,-1.0717802
5997.615963293139,37,.9291482,-.47356871
8356.126037027707,38,.69239408,-.96753335
7279.918068499508,22,0,-1.2077713
3711.290635797903,23,0,-1.0535743
6550.311626862153,23,0,-1.5316362
3195.917993812892,25,0,-1.1762688
8351.697325056344,25,.61422056,-.20335403
2938.907603187864,36,4.7171021,-.34464657
3859.520000901924,37,5.123158,-.29775128
6368.170633375818,39,3.8684728,-.27812266
16186.14768747851,22,3.9807076,-1.2432821
2041.723304589914,23,2.9915333,-1.6335269
1991.296858985248,22,3.0590975,-1.6386906
2041.723304589913,25,2.9915333,-.37113404
1396.449371567363,41,1.8426617,-.63796204
1851.141428826003,40,4.9113913,-.24092872
2431.61386359982,23,0,-1.5239882
3278.693620650641,24,.20905834,-1.2174064
5561.065314192402,26,.62678415,-.83045685
2446.036842716503,45,7.5389991,-.18200921
3098.407362132366,26,.72813058,-1.4435771
3098.407362132366,26,1.0894039,-1.4435771
3923.000831508367,27,.33921728,-1.2299374
5764.06971689665,28,.45117292,-1.102951
6931.244894426184,27,.32106984,-1.2254002
2447.626745166917,32,0,-.99007577
3258.506608849144,33,.34563866,-.95429248
5658.086280771068,28,0,-.77278531
4207.79440146457,31,0,-1.0664241
6131.830678065521,37,.58071762,-.14403467
7454.340880533572,38,.82361394,-.46329641
4641.936262221443,24,0,-.84466654
4905.66545380487,31,.50114816,-.33745757
2416.630405476776,24,7.5660806,-.98120093
3510.888294419665,25,.48858455,-1.3833128
