w,age,a,z
2476.250134463588,21,0,-.80563772
4722.066398479831,21,17.17,-.17259444
5136.537752262117,21,5.5,-.38546649
1164.992285740544,21,0,.97260487
2413.522327550765,21,10.303,-.62100399
1855.427894437498,21,0,-.40760759
1961.771677654775,21,20,.6828872
2308.370633034468,21,10.303,-.62100399
7229.268830018568,21,0,.64649642
6750.065068185284,21,0,.74840486
6552.038802063866,21,0,.71557605
1579.925069946492,21,0,.97260487
9764.105979603659,21,20,-.80563772
2320.556736380844,21,0,-.22715344
7312.59367495301,21,0,.74840486
2216.212418773495,21,10.303,-.62100399
2296.887673768985,21,0,-.80563772
2289.614974562125,21,10.303,-.62100399
4453.512340259697,21,17.17,-.17259444
2809.972621492986,21,5.71,.97260487
5513.413676109571,21,0,-.41697982
5128.689735751856,21,5.0999999,-.75420558
4958.745616285642,21,5.5,-.36380497
1905.884540128448,21,20,-.009633204
2822.313678507905,21,5.71,.97260487
9341.700513914744,21,20,-.77284789
2841.443669725426,21,5.71,.87093961
1567.231270239236,21,0,.084765293
4518.918294398297,21,17.17,.86573112
2640.094717804151,21,0,.3176671
3770.139339000778,21,14.9,.88332999
2230.324989722792,21,10.303,-.62100399
1136.785475786167,21,0,.97260487
1236.049048504757,21,0,.97260487
2796.850664615915,21,0,.3176671
2270.062463533243,21,0,-.2604107
1126.647979140625,21,0,.97260487
1939.489756862419,21,0,-.59817195
2829.782862653735,21,5.71,.97260487
1579.617196893425,21,0,.97260487
3327.917517238406,21,0,.46365461
1546.939322167482,21,0,-.70027721
1242.347802737999,21,0,.97260487
2183.882588681076,21,10.303,-.62100399
5252.518344708545,21,5.0999999,-.75420558
4884.730983111745,21,17.17,-.17259444
4627.787810420192,21,17.17,.76702082
1495.37061391891,21,0,.052317478
4920.342018650856,21,0,.42465243
6581.325017002122,21,0,.74840486
1950.963472297747,21,20,.52570164
1519.199638854808,21,0,.052317478
2372.962252264197,21,0,-.80563772
4842.331694220492,21,0,-.19345964
2799.452279414037,21,0,.28460631
2311.513974923173,21,0,-.80563772
4925.529589043041,21,0,-.14352264
4870.947459735592,21,0,.45738992
1525.170809673224,21,0,.094975092
1497.536000041013,21,0,.084765293
1425.760451520597,21,0,-.51587451
3798.464574495292,21,14.9,.88332999
7134.273738406273,21,0,.74840486
5119.176587308042,21,5.0999999,-.75420558
2169.436016213695,21,10.303,-.62100399
1910.5956217189,21,0,-.37457708
5473.037149383319,21,5.5,-.43216029
1601.744397677709,21,0,-.70027721
6006.405364389646,21,0,-.41697982
5664.710570192736,21,0,-.41697982
4840.622618921568,21,5.5,-.07970085
4926.747409534988,21,0,.82032955
1467.218903949,21,0,.084765293
6646.793622344541,21,0,.71557605
2802.256591996691,21,5.71,.97260487
1834.992818800002,21,0,-.37457708
1149.637485268849,21,0,.97260487
1590.81253797699,21,0,.97260487
2441.855562086796,21,0,-.80563772
1247.679879715054,21,0,.97260487
5656.968183302796,21,0,-.41697982
6101.53745866016,21,0,-.51795566
1901.059915159851,21,0,-.46323076
2263.380963128217,21,0,-.80563772
4872.999027408061,21,5.0999999,-.75420558
1190.553526849847,21,0,.97260487
1948.601733686807,21,20,.6828872
4678.202605912017,21,17.17,-.17259444
2377.186978849858,21,0,-.80563772
4808.244821741567,21,5.0999999,-.75420558
5469.705547861338,21,5.5,-.36380497
1535.680959013362,21,0,.061696149
3753.069077213067,21,14.9,.88332999
2356.088494596615,21,10.303,-.62100399
1633.221967917309,21,0,.31041417
1557.194764118464,21,0,.97260487
3812.756995696684,21,14.9,.85047162
2827.285160315736,21,5.71,.93968999
2392.400660060136,21,0,-.80563772
1578.776730806898,21,0,-.017180344
1524.873606342158,21,0,.061696149
4870.833115398515,21,5.0999999,-.75420558
5771.202676395448,21,0,-.41697982
4812.693995246867,21,0,.47837767
4318.588809206134,21,17.17,.86573112
2293.69131300566,21,10.303,-.62100399
4395.618598598481,21,17.17,-.17259444
0,21,20,-.009633204
1797.957359958622,21,20,-.009633204
4952.710330061263,21,0,.45738992
3898.93495903431,21,14.9,.33911571
5357.04031570206,21,5.0999999,-.75420558
4954.40929439408,21,5.5,-.32355455
1578.903678646558,21,0,-.70027721
4344.307819174344,21,17.17,.85206115
2807.517238308809,21,5.71,.93968999
4812.036838077578,21,5.0999999,-.75420558
0,21,20,-.11110272
1602.475081005575,21,0,.97260487
2860.875816664686,21,5.71,.97260487
1652.966880786676,21,0,-.70027721
4386.207162956764,21,17.17,.6903826
1939.764693850614,21,0,-.63028479
4793.736956602908,21,5.0999999,-.75420558
2248.408502028616,21,0,-.22715344
6711.561232399399,21,0,.74840486
1596.715806159263,21,0,.97260487
4909.641882635838,21,5.5,-.38546649
5614.761413019471,21,0,-.44951847
4892.063096217582,21,0,.42465243
6993.110998978125,21,0,.71557605
1567.782407711818,21,0,.084765293
4823.532174143152,21,5.5,.71678889
2190.329409891693,21,10.303,-.62100399
6891.940466151376,21,0,.71557605
0,21,20,-.009633204
9419.711272048156,21,20,-.77284789
1811.831641331531,21,20,-.042757176
2742.772622718218,21,0,-.071668528
2389.275001412063,21,10.303,-.62100399
5312.375553513781,21,5.5,-.36380497
5120.907443853663,21,5.5,-.36380497
3377.18344776578,21,0,.10284481
5556.614169910974,21,0,-.41697982
5082.404337426152,21,5.5,-.38546649
10029.72935961231,21,20,-.80563772
1576.620637628657,21,0,-.70027721
5168.714071137798,21,5.0999999,-.75420558
9186.780891404867,21,20,-.80563772
1873.70530817959,21,0,-.67314851
1503.228250748561,21,0,.094975092
1664.558573526333,21,0,-.70027721
2823.913401557807,21,5.71,.97260487
1275.243553720974,21,0,.97260487
1758.510909759501,21,20,-.009633204
4609.515244345607,21,17.17,.85206115
2798.758720298067,21,5.71,.97260487
1541.379642124695,21,0,.094975092
2788.712518528317,21,5.71,.93968999
4400.059269180113,21,17.17,.86573112
2872.852506035003,21,5.71,.93968999
2239.050135698089,21,10.303,-.62100399
5324.310560071826,21,5.0999999,-.75420558
1652.385797605453,21,0,-.70027721
3780.697172703681,21,14.9,.85047162
6094.820161272964,21,0,-.41697982
6808.687191344752,21,0,.74840486
5853.737000132217,21,0,-.44951847
6686.942572394997,21,0,.74840486
1943.450795203109,21,20,.64974201
5784.717470449229,21,0,-.44951847
1803.636878927015,21,20,-.042757176
1305.590263834622,21,0,.97260487
4823.321683162828,21,0,.45738992
4970.227808694479,21,5.0999999,-.75420558
1152.462344440187,21,0,.97260487
4882.634425885276,21,5.5,-.36380497
2501.380119323372,21,0,-.80563772
2677.420734905332,21,0,.28460631
5546.416106899062,21,0,-.44951847
7058.12756535393,22,11.68,.24154595
9736.080464718725,22,5.8099999,-.91014385
3623.356768656104,22,9.8199997,-.30537602
1466.886375935477,22,4.5310001,-.20764205
6769.764413028516,22,5.4000001,-.7766124
4937.043742128778,22,0,.028452663
7814.021843927318,22,9,-.66763997
2223.848167670291,22,9.9200001,-.59511352
9971.284949125185,22,0,.25979784
6425.83560896942,22,7.96,.47521022
6975.903967520207,22,1.2,-.47140381
7281.655371003666,22,1.85,.21138671
7827.975282255597,22,0,-.58964157
7336.983912676893,22,11.68,.24154595
10108.19140776413,22,0,.25979784
1850.84703146397,22,2.7,.37485459
3220.775500973254,22,0,-1.0426017
5190.212935257145,22,0,.061005384
9791.443520889134,22,3.6800001,.28343681
7181.900071425952,22,11.68,.24154595
4578.465988021359,22,0,-1.4153461
2619.479848270024,22,27,.92484069
3853.397192474311,22,0,.84134173
3557.518224313631,22,9.8199997,-.30537602
5385.324606265042,22,0,.26793268
5504.400620507623,22,11,.94768023
5277.929106706177,22,11,.94768023
5127.258571944538,22,8.3900003,-1.1137427
1411.654492305859,22,0,.18721464
5237.131181108535,22,11,.94768023
11272.61830980778,22,0,.69816566
7922.233548409949,22,9,-.66763997
8144.678122515677,22,0,-.58964157
5050.01521100125,22,11,.94768023
5415.600523591717,22,8.3900003,-1.4029621
1605.132136598339,22,4.5310001,-.27603647
3954.809844435728,22,27,.91761398
2730.85484803194,22,27,.92484069
2641.037709587436,22,27,.92484069
3214.182452123781,22,27,-.34731075
9999.795866936018,22,0,.25979784
5121.281748370769,22,0,.33669403
4675.334872653012,22,15.056,.97487307
4504.43627330906,22,15.056,.97487307
7666.587033737521,22,0,-.97217917
4900.326282868861,22,15.056,.97487307
5227.158938807598,22,0,.36964062
5874.172645450413,22,3.2,-.68399715
9526.727822297225,22,3.6800001,.57197332
7540.510559821864,22,1.2,-.47140381
6460.85185558656,22,5.4000001,-.81006038
7128.676812071207,22,11.68,.20893434
3660.218853037964,22,27,.31263593
2299.781383355805,22,1.6,-1.3786448
5501.740614945349,22,8.3900003,-1.4029621
3707.430326451151,22,9.8199997,-.30537602
4124.492183252395,22,9.1599998,.74844217
10678.74979625363,22,0,.29251245
7639.270051946466,22,4.73,-1.4153461
3133.954478820311,22,0,-1.4153461
4961.432514309121,22,0,.33669403
3755.132676195396,22,27,1.0682616
2395.490453402401,22,2.4100001,-1.4153461
4900.921641336075,22,8.3900003,-1.4029621
3328.081280870345,22,0,-1.4153461
3942.494247898935,22,27,.98650622
11609.54294173216,22,0,.66526294
2410.696506415689,22,9.6000004,1.0541253
3201.805431626511,22,27,-.34731075
6526.391126320754,22,7.96,.44221666
5093.776585460872,22,8.3900003,-1.4029621
2582.399247562375,22,9.6000004,.75130153
5272.694077145274,22,3.2,.57111883
8277.988942947788,22,4.73,-.53909898
9758.567700219173,22,3.6800001,.55300713
4054.040025866696,22,27,1.0192504
7814.386060070883,22,9,-.70062661
7690.525006647175,22,27,-.37995788
4886.680593099351,22,0,-1.4153461
3616.574942182299,22,6.1999998,-1.1978259
7315.384840979493,22,27,.94474339
9426.997121798995,22,3.6800001,.27944019
1495.794510095384,22,4.5310001,-.17467186
1878.246659248184,22,2.7,.34422901
2137.471045965702,22,9.9200001,.72819567
8359.988082538821,22,0,-.55610394
4689.937858637826,22,0,.13836172
2024.917716105471,22,2.7,-.62858939
7634.047836320342,22,0,-.58964157
6907.688532953512,22,1.85,.97914481
4644.679228657157,22,0,-1.4153461
7177.277298707402,22,11.68,.20893434
4001.252331120685,22,0,.13307765
7608.510688339489,22,27,-.31052276
9774.955176261628,22,5.8099999,-.91014385
9622.025656734602,22,5.8099999,-.9426204
3534.089247027899,22,6.1999998,-1.3374625
2740.539894217575,22,27,.92484069
9712.158128188708,22,1.4,.3717294
3959.726686625537,22,0,.13307765
2364.015149736339,22,2.4100001,-1.4153461
4785.207141109707,22,0,.061005384
2492.294370735578,22,2.4100001,-1.4153461
1423.668893821452,22,4.5310001,-.17467186
4784.457257543183,22,15.056,.97487307
4093.601918220043,22,27,1.0192504
