w,age,a,z
4360.644817495454,22,1.1,-.58501023
5487.713272101806,37,1.54,-.83690774
3993.021711440599,37,7.2600002,-1.1817392
7078.386221915152,25,9.1000004,-.62735236
7900.887426265919,21,0,-.56195986
8912.417082398204,22,0,-.81978214
12091.50949512735,26,0,-.44392544
18193.28769259102,27,2.97,-.44360486
4406.272349244729,45,0,-.65824795
11531.56242813727,29,11.7,-.82492298
6496.716375176613,22,0,-.67813659
17825.04317852143,22,13.7,.026375229
30690.69372838928,23,12.1,-.00022766922
5745.569504913808,34,12.752,-.80888957
10920.76210862686,35,10.159,-.45576367
11302.90701733883,36,5.5999999,-.3593798
11647.80350014217,37,5.23,-.32359374
3820.732214402533,25,0,-.72623652
7536.092705688005,34,34.009998,-.79045123
22408.44887314507,22,0,-.77058625
4060.433104340058,21,1.943,-.19875987
5580.858847159209,21,2.3,-.62123507
5580.858847159208,24,1.53,-.5442636
3397.142686847437,35,0,-.5305469
3638.789343964804,36,0,-.50826192
4000.833812558841,37,0,-.1939014
6887.674953223864,38,0,-.37192479
864.4672772321522,22,7.0300002,-.82516205
1505.173289904964,40,0,-.59417206
2380.996815256854,40,351.82001,-.5884521
1383.018471641931,42,212.8,-.92789274
1852.800167130975,43,6.5,-.90915906
2224.61780291759,44,9.5,-.86580294
3182.645188231457,45,4,-1.0637161
6925.911599950417,22,0,-.54731888
3994.671307012107,21,4.8600001,-.58541155
2848.692912036816,21,0,-.68564194
1748.074101850403,24,9.4700003,-.25183564
4217.87990153537,27,19.299999,-.41409591
2618.286937901723,27,4.1900001,-.56428313
3460.600921821582,30,0,-.29068995
1986.32759553411,40,41.02,.40559661
1405.54257907432,41,2.24,-.44790089
4062.254121087431,42,1.33,-.63569337
1705.172067480487,33,0,-1.5568943
1180.446884347059,34,2.0999999,-.50150371
3304.142027032728,23,2.75,-.85325205
6401.883912594142,24,2.46,-.77689606
9524.957417201897,26,42.400002,.09657377
2798.056468827402,38,0,-.91926366
4166.295144209733,39,0,-.79657054
4222.576377227439,40,0,-1.0605863
