w,age,z,a
2915.949614170531,23,-.5227319,.34898895
3369.078208175896,24,-.42951414,.22335294
4481.219109526034,25,-.44383165,0
5357.714556936154,31,-.93548608,0
6861.18173988274,33,-.89501607,0
6622.8208005708,34,-.49036965,0
6094.856425305468,27,-.53255284,1.3736205
3478.833417586336,28,.68574506,3.852838
4680.783311599187,38,-.43774968,6.7494464
4087.609937922491,47,.044625767,1.5827347
4547.273863720633,25,.89255828,0
4865.001587141574,25,.47269225,1.2842793
7935.219746535347,27,-.88867372,3.6601961
6925.733803065817,26,1.0204393,7.649838
12761.77593245908,26,.022574356,8.0825844
12122.531478027,29,.90693367,9.0178747
9232.975180034762,23,.60379845,0
2835.46191288213,23,-.82608306,0
10447.8049112343,26,-.25348228,4.2659016
4005.834255639382,31,-.59853393,.56396616
5943.994120041155,29,-.90413833,0
3905.834371180905,47,-.58841258,.55838233
7291.310919126045,31,-.78635532,6.8309703
2465.607794047008,27,-.75829083,0
5105.549616606382,27,-.64306068,0
4209.201941599889,23,.084537417,3.8154263
3134.590632020725,37,-.35333577,2.9401622
1662.233030979411,23,-1.2251815,0
3968.950871761117,31,.49719581,4.0546932
4389.882336364163,32,1.0066179,7.5909286
10454.63236735389,36,-.26342526,10.579391
12968.89493014189,33,.070270725,8.7674398
14073.92287787488,36,-.90520233,.56954998
14194.73474205824,24,-.38059613,0
1558.107850532199,32,-.5149287,0
7835.580068753256,36,-1.0630878,0
6198.260197120037,37,-.88592267,0
6947.509340741729,38,-.87377501,0
2464.608141652012,34,.062751867,7.6233149
3016.235911794476,35,.02371371,6.4800267
2809.866715948179,30,-.7110315,2.2363212
3742.621221436711,31,-.89084136,3.4971485
4310.683235717419,32,-.84845436,1.9021294
4656.375667160161,26,-.43450862,0
4429.898148046287,27,-.33335823,0
15208.6535766127,24,.80743504,0
9109.217126646356,32,-.40530676,.38807571
7238.853859198564,28,-.11552288,.48020881
1581.584541071635,23,-.16016465,0
12145.56422779645,26,.35528374,.3034808
8302.46275611807,27,.78159404,5.2963958
3134.030046306264,23,-.55374402,1.2842793
4951.403267207025,26,-.73513693,5.4385042
1190.009385528512,23,-.47928387,.21274367
1481.688468408393,24,-.10958593,0
1034.5906377463,26,-.20309861,.85432494
4115.540041603643,43,-.08999557,8.9503107
6201.362333615885,45,-.10489113,11.044523
5392.475004242485,46,-.040220313,14.591088
7241.973149561582,24,-1.4843731,0
11808.85558940483,23,-.36259064,.63934779
13701.5912224134,24,-.83487296,0
4916.767021897252,24,-.31166416,.6170125
647.6716776391902,25,-.91343766,0
6355.803321857918,35,.88199091,1.0246316
8230.070731321575,35,.17294356,10.11733
13637.09200531493,37,-.39963683,5.1766229
4939.965912373557,27,.38197768,8.278018
8150.90488766412,30,.32085216,6.498342
5937.252290820514,35,.17294356,17.664425
8185.297114765343,36,.17746794,14.244333
6844.523427464991,37,.25676632,55.949909
8651.89487533457,38,-.25907779,46.937618
13760.66562622297,33,-.077730343,7.7888751
4855.023195914281,31,-1.6292777,0
7244.064474008112,37,.13741088,5.3590746
9335.011469498046,38,.012682282,5.593595
12682.63751088127,39,.12195094,11.600393
13132.8606144586,40,.066824071,7.0914555
7375.601709103522,44,.13151388,27.325836
8435.910421957497,45,.12930176,40.238426
10647.98891365559,46,.057023264,31.051641
14246.18321217228,47,.32246536,45.396484
3567.72244420695,24,1.2000459,4.6739392
6276.87411073191,30,-.78649998,.67005879
8209.620436494346,31,-1.3333948,0
9145.056059030863,33,-.72141373,.55838233
10288.77466054493,33,-.68194455,.27919117
8122.498035679684,29,-.69578189,0
13322.95189938768,41,-.3052021,6.9381795
