w,age,z,a
2915.949614170532,23,-.5227319,12.5
3369.078208175897,24,-.42951414,8
4481.219109526034,25,-.44383165,1.35
5357.714556936154,31,-.93548608,2
6861.181739882738,33,-.89501607,2
6622.8208005708,34,-.49036965,2
6094.856425305468,27,-.53255284,49.200001
3478.833417586336,28,.68574506,138
4680.783311599186,38,-.43774968,241.75
4087.609937922491,47,.044625767,56.689999
4547.273863720633,25,.89255828,0
4865.001587141574,25,.47269225,46
7935.219746535347,27,-.88867372,131.10001
6925.733803065817,26,1.0204393,274
12761.77593245908,26,.022574356,289.5
12122.53147802699,29,.90693367,323
9232.975180034762,23,.60379845,2.2
2835.46191288213,23,-.82608306,4.79
10447.8049112343,26,-.25348228,152.795
4005.834255639382,31,-.59853393,20.200001
5943.994120041156,29,-.90413833,0
3905.834371180904,47,-.58841258,20
7291.310919126044,31,-.78635532,244.67
2465.607794047008,27,-.75829083,0
5105.549616606381,27,-.64306068,0
4209.201941599889,23,.084537417,136.66
3134.590632020725,37,-.35333577,105.31
1662.233030979411,23,-1.2251815,0
3968.950871761117,31,.49719581,145.23
4389.882336364163,32,1.0066179,271.89001
10454.63236735389,36,-.26342526,378.92999
12968.89493014189,33,.070270725,314.03
14073.92287787488,36,-.90520233,20.4
14194.73474205824,24,-.38059613,2
1558.107850532199,32,-.5149287,1.4
7835.580068753257,36,-1.0630878,6
6198.260197120037,37,-.88592267,1.5
6947.509340741729,38,-.87377501,1.9
2464.608141652012,34,.062751867,273.04999
3016.235911794476,35,.02371371,232.10001
2809.866715948179,30,-.7110315,80.099998
3742.621221436711,31,-.89084136,125.26
4310.68323571742,32,-.84845436,68.129997
4656.37566716016,26,-.43450862,7
4429.898148046286,27,-.33335823,6.6199999
15208.6535766127,24,.80743504,6.4000001
9109.217126646356,32,-.40530676,13.9
7238.853859198566,28,-.11552288,17.200001
1581.584541071635,23,-.16016465,3.5999999
12145.56422779644,26,.35528374,10.87
8302.462756118071,27,.78159404,189.705
3134.030046306265,23,-.55374402,46
4951.403267207024,26,-.73513693,194.795
1190.009385528512,23,-.47928387,7.6199999
1481.688468408393,24,-.10958593,1.7
1034.5906377463,26,-.20309861,30.6
4115.540041603644,43,-.08999557,320.57999
6201.362333615885,45,-.10489113,395.59
5392.475004242485,46,-.040220313,522.62
7241.973149561582,24,-1.4843731,0
11808.85558940483,23,-.36259064,22.9
13701.5912224134,24,-.83487296,0
4916.767021897252,24,-.31166416,22.1
647.6716776391903,25,-.91343766,5.6500001
6355.803321857918,35,.88199091,36.700001
8230.070731321573,35,.17294356,362.38
13637.09200531493,37,-.39963683,185.41499
4939.965912373557,27,.38197768,296.5
8150.90488766412,30,.32085216,232.756
5937.252290820515,35,.17294356,632.70001
8185.297114765342,36,.17746794,510.20001
6844.523427464989,37,.25676632,2004
8651.89487533457,38,-.25907779,1681.2
13760.66562622297,33,-.077730343,278.98001
4855.023195914281,31,-1.6292777,0
7244.064474008111,37,.13741088,191.95
9335.011469498046,38,.012682282,200.35001
12682.63751088128,39,.12195094,415.5
13132.8606144586,40,.066824071,254
7375.601709103524,44,.13151388,978.75
8435.910421957497,45,.12930176,1441.25
10647.98891365559,46,.057023264,1112.2
14246.18321217228,47,.32246536,1626
3567.722444206951,24,1.2000459,167.41
6276.874110731911,30,-.78649998,24
8209.620436494348,31,-1.3333948,1.8
9145.056059030861,33,-.72141373,20
10288.77466054493,33,-.68194455,10
8122.498035679684,29,-.69578189,3
13322.95189938768,41,-.3052021,248.50999
19320.42753203626,42,-.31602305,409.89999
6897.485563090599,25,.55937314,240.8
8140.961810532971,26,.48129109,267.07999
4373.964817732305,27,.72290653,312.10001
3588.179713607437,28,.7035287,264
6877.002845346325,25,.2601988,11.1
8140.961810532971,26,.18326835,15.05
6917.436329149673,24,.046493459,47.27
8423.357231943566,25,.51561141,14.99
5427.777440965845,23,.43624309,11.94
4060.073670527132,23,.29658696,51.700001
3697.701730539382,25,.91806692,28
6273.788159000367,23,-.72659492,2.74
7234.356827140019,38,.0992544,376.31
9270.574938779891,39,.033111695,331.10001
10227.97335589573,41,-.034185488,290.48999
6843.87980681612,24,-.033935856,0
8869.345478084781,25,.358897,2.5
5019.742110843798,32,-.16470869,205.38
6891.349482067827,33,-.2001694,211.38
7171.666454184401,34,-.082654774,293.12
8402.792300771916,35,-.22272529,283.53
2085.606895758466,44,-.5142138,4.8299999
3962.726055811405,33,-.29278442,418.341
5085.746886111887,34,-.94822252,398.00299
2412.246601617554,35,-.61658615,445.38
2728.07561712068,36,-.80056798,410.04999
4730.462672116334,26,-.90520847,0
3714.783979916139,29,-.0059453482,109
5983.944037139754,30,.091720715,100.48
9170.744117855358,31,-.3887403,115.2
8700.29335135542,32,.1260135,290.88
5633.857980403468,25,.89930761,15.4
9061.293088547462,26,.69014341,0
3730.304875535774,24,.013528603,0
6031.981616524282,25,-.62462914,0
10158.06393842125,26,-.73259801,0
11459.34969334249,27,-.24089743,0
8172.622957584703,46,-.067189552,111978.65
6739.555107165173,43,-.51522422,133.5
6503.27527943624,44,-.67264968,137.25
11031.46507704989,45,-.096882775,25.075001
25844.28237628437,24,.24776493,7
9546.427788932035,30,-.40471548,3
16900.76678276627,32,-.12735181,241.88
8933.78294418005,41,-.6107015,301.22
11999.54919228758,42,-.23295462,38.759998
17674.61146262911,43,.186781,59.099998
8964.66687727962,24,.10417837,75
11151.59240915893,25,-.12286564,107
11967.4454246752,26,-.364326,197.89999
4246.946618904706,42,-1.5750413,11.405
5988.654510842546,42,-.72607023,11.925
3969.805876502233,45,.59502149,792.71002
6097.773070661141,46,.26597607,1211.6
3818.583542600504,38,-1.2419505,0
3404.698196849871,36,-1.2698554,0
3038.600433998221,37,-.95027471,1.24
6370.112651726358,25,-.10505268,0
3369.667431867607,34,.1584046,186.31
4804.394060481528,35,.17562942,232.92
5408.085735782214,36,.090875469,265.12
6072.676361005882,37,.14180563,292.55399
5229.819405017653,26,-.51600087,50.700001
6742.510306646848,24,.24620193,0
8422.360586910976,26,-.90297824,7.7800002
8969.308716725909,27,-.2201661,7.467
10973.12342628423,28,-.29176858,2.4000001
10312.76237693324,42,.10574085,497.98001
16283.51661215297,43,-.41786754,509.39999
6439.170123159224,28,-.058895338,108
6439.170123159226,27,-.20245877,103.4
6910.309171729179,34,-.55518615,659.65997
11109.37305190072,35,-.12435377,298.60001
20863.25898540886,25,1.0645924,41.299999
17551.44590562271,27,-.11879048,10.885
17959.66342110632,25,-.17002706,10.885
19817.49483563207,24,-.16559634,10.885
7255.745344086395,30,-.80866611,0
2501.910719766682,28,-.14676911,8.6000004
7452.695660265629,24,.062575907,9.0050001
10420.90001987959,25,-.0092854984,3.7
15951.93739740057,26,.52164501,94.050003
7748.056910796509,27,-.035970148,14.41
9025.316788251186,28,-.74935257,0
12342.13652487409,29,-1.4297631,13
14607.0108377868,30,-.55190897,3.55
26004.59143356254,31,.011977575,10
11769.57905113867,31,-.65322906,150.60001
16732.19651419923,32,-.60186243,180.7
8934.197146190714,29,.70759916,2.467
12447.40803140215,30,.93279439,191
4403.711584075392,25,.38057074,1.5
8098.328091919606,23,-.2263255,0
7444.279920125143,30,-.12927446,137
7533.565869940263,31,.18307407,294.19
10006.55382214018,33,.2543641,328.23001
12742.07168264975,28,.5707857,44
8964.666877279622,25,-.6634388,42.599998
13528.12691483418,25,.35457519,4.6999998
14953.21356320114,30,.20545647,445.75
6664.368218198498,42,-.019512683,526
4067.935106994381,43,.52672338,580
7514.460836733731,45,-1.3310986,1234.38
6697.317855512606,29,.071368627,264.39001
8725.674908912682,30,-.037151124,303.06
12518.9628405436,31,-.016205937,323.67999
13633.53921702449,32,.16425021,320.67001
3477.053459829508,27,-1.018072,630
3948.358563870133,25,-.042917859,43.5
4130.864345160536,23,-.29492626,83.199997
8953.538025941649,42,-.92052048,14.4
8622.97803667142,38,.47604463,6.0100002
9699.413216098441,27,-1.3472055,146.035
12840.56693750505,27,.13533109,2.0999999
16238.18735116859,24,-.17896976,95.800003
6400.652416202932,27,-.42633691,5.4000001
8805.559075453157,28,-.3410067,5
9092.020216840734,38,1.0344,552.34003
2408.25992660052,34,.12933733,241.7
3522.126284105965,35,.23114352,217.10001
2498.310948967031,45,1.0847375,835.65002
3837.500799956425,46,.72647178,900.19
5543.462513033238,47,.070486009,945.40002
4799.543601433726,47,.64170349,1443.1
3224.684060450975,33,-1.6188701,82.699997
7212.550207002129,36,.32873544,40.5
11048.33270720753,26,.028462246,13.8
6339.636269611053,31,-.97705954,35.299999
5201.838574850972,24,-.17248151,186.2
4665.204285306952,31,.12114909,154.23
7177.623911483156,32,.26002821,168.33
4908.747178982997,44,-.48838481,166.89999
7943.284395017702,45,-.80053347,3.78
12205.98632640319,46,.29784617,50.5
5224.235695671953,38,.19137293,557.97998
8255.599533610339,39,.26440969,495.17999
