w,age,a,z
1925.334443432257,23,0,-.088302329
7498.086119293339,23,0,.64326459
2370.507053708041,23,0,.46168977
10842.75937567923,23,10.87,.41202384
3206.349895822086,23,11,.77062231
2976.706248420604,23,1.92,-.09042187
1037.794088400106,23,0,-.61119765
7328.380864157901,23,0,-.64263934
2299.643230428745,23,0,.39258057
1681.322937115308,23,59.599998,.84658653
4381.639663999487,23,0,-.7935192
1537.607318586727,23,0,.1647356
5376.673562311647,23,2.3,-.25452274
3099.044838270119,23,0,-1.3139144
1487.205936805018,23,0,-.5267691
5699.173376599079,23,59.599998,.5078395
3322.461665489608,23,4.895,1.0672331
1690.02281684736,23,2.3,.43862444
4095.719711727534,23,0,.53922373
7562.541819448648,23,0,.61047465
2268.250893941672,23,3.0799999,.54035336
3096.525573977415,23,3.3,.60484487
3960.139972460058,23,6,-.8050136
5320.370582492914,23,0,.10664205
7633.238894541959,23,0,.64326459
2691.364345097564,23,0,-1.3139144
3599.397324577224,23,59.599998,-1.3139144
9632.667419174824,23,59.599998,-.55788273
5422.611131569507,23,0,.1019855
8354.928546313573,23,6.8249998,1.0672331
3960.640516516149,23,59.599998,.7263065
7402.605456584605,23,0,-.031379174
1801.810779343876,23,0,-1.1299915
6649.369287153343,23,11.42,.50120789
3408.994912883138,23,1.72,.18962865
3121.348927377943,23,59.599998,.39736825
2285.930622728568,23,3.0799999,.50745064
1017.804306756823,23,0,-.61119765
6061.905813403278,23,0,-.73525041
3324.088872566233,23,0,-.031379174
1700.422535585458,23,59.599998,-1.2901603
4254.184397610901,23,0,.79833633
5051.254527843476,23,1.28,.083733603
5097.17590939934,23,1.28,-.25953525
5048.103700617566,23,1.28,.2657581
6045.938348393802,23,0,-.70341748
4255.680195140822,23,1.363,1.0672331
6197.735459032335,23,0,-.73525041
6249.374705283991,23,0,-.70341748
1796.028212622791,23,59.599998,.84658653
6210.479002832669,23,0,-.8050136
879.9120736075013,23,5,-.38140959
1695.442092967994,23,5.2600002,.029402303
1748.782416952005,23,59.599998,.84658653
7936.185017144128,23,0,-1.2510298
6107.963584007804,23,0,-.70341748
1703.310892620256,23,59.599998,.82161671
4912.438551711862,23,3.75,-.13970704
3205.389143744412,23,0,-.77933472
4828.363591518669,23,21,-.59936327
1490.289909339846,23,0,.59491569
3514.80060974038,23,2.29,-.59116167
0,23,10.1,.36291271
5390.910325977487,23,0,.47944647
4761.192519979415,23,0,-.65251583
5549.00372587672,23,16.43,-1.2901603
1521.58473407095,23,0,.52365476
1562.330561953739,23,59.599998,1.0672331
1533.311567277406,23,0,.52365476
2115.122510074148,23,0,-.6195659
4242.437937572,23,0,.53922373
2051.357087836534,23,0,-.12130399
3006.711585341253,23,1.92,-.057723235
5526.676608958923,23,16.43,-1.3139144
5701.365473413645,23,0,.029402303
3351.170142856912,23,20,.49295479
5568.543042662679,23,51.299999,.67501312
